id,category,difficulty,question,option_a,option_b,option_c,option_d,correct_option,explanation,image
251,"Geografi","mudah","Ibu kota Provinsi Jawa Barat adalah apa?","Bandung","Semarang","Surabaya","Serang","A","Bandung adalah ibu kota Provinsi Jawa Barat.",""
252,"Geografi","mudah","Ibu kota Provinsi Jawa Tengah adalah apa?","Semarang","Yogyakarta","Bandung","Surabaya","A","Semarang adalah ibu kota Provinsi Jawa Tengah.",""
253,"Geografi","mudah","Ibu kota Provinsi Jawa Timur adalah apa?","Surabaya","Malang","Madiun","Kediri","A","Surabaya adalah ibu kota Provinsi Jawa Timur.",""
254,"Geografi","mudah","Ibu kota Provinsi Bali adalah apa?","Denpasar","Mataram","Kupang","Singaraja","A","Denpasar adalah ibu kota Provinsi Bali.",""
255,"Geografi","mudah","Ibu kota Provinsi Sumatera Utara adalah apa?","Medan","Padang","Pekanbaru","Banda Aceh","A","Medan adalah ibu kota Provinsi Sumatera Utara.",""
256,"Geografi","mudah","Ibu kota Provinsi Sumatera Barat adalah apa?","Padang","Medan","Jambi","Palembang","A","Padang adalah ibu kota Provinsi Sumatera Barat.",""
257,"Geografi","mudah","Ibu kota Provinsi Riau adalah apa?","Pekanbaru","Padang","Jambi","Bengkulu","A","Pekanbaru adalah ibu kota Provinsi Riau.",""
258,"Geografi","mudah","Ibu kota Provinsi Lampung adalah apa?","Bandar Lampung","Palembang","Bengkulu","Jambi","A","Bandar Lampung adalah ibu kota Provinsi Lampung.",""
259,"Geografi","mudah","Ibu kota Provinsi Kalimantan Barat adalah apa?","Pontianak","Samarinda","Palangka Raya","Banjarmasin","A","Pontianak adalah ibu kota Provinsi Kalimantan Barat.",""
260,"Geografi","mudah","Ibu kota Provinsi Kalimantan Timur adalah apa?","Samarinda","Pontianak","Banjarmasin","Tarakan","A","Samarinda adalah ibu kota Provinsi Kalimantan Timur.",""
261,"Geografi","mudah","Ibu kota Provinsi Kalimantan Selatan adalah apa?","Banjarbaru","Pontianak","Samarinda","Palangka Raya","A","Banjarbaru adalah ibu kota Provinsi Kalimantan Selatan.",""
262,"Geografi","mudah","Ibu kota Provinsi Kalimantan Tengah adalah apa?","Palangka Raya","Banjarmasin","Pontianak","Samarinda","A","Palangka Raya adalah ibu kota Provinsi Kalimantan Tengah.",""
263,"Geografi","mudah","Ibu kota Provinsi Sulawesi Selatan adalah apa?","Makassar","Manado","Palu","Kendari","A","Makassar adalah ibu kota Provinsi Sulawesi Selatan.",""
264,"Geografi","mudah","Ibu kota Provinsi Sulawesi Utara adalah apa?","Manado","Makassar","Palu","Gorontalo","A","Manado adalah ibu kota Provinsi Sulawesi Utara.",""
265,"Geografi","mudah","Ibu kota Provinsi Sulawesi Tengah adalah apa?","Palu","Makassar","Manado","Kendari","A","Palu adalah ibu kota Provinsi Sulawesi Tengah.",""
266,"Geografi","mudah","Ibu kota Provinsi Sulawesi Tenggara adalah apa?","Kendari","Palu","Makassar","Gorontalo","A","Kendari adalah ibu kota Provinsi Sulawesi Tenggara.",""
267,"Geografi","mudah","Ibu kota Provinsi Maluku adalah apa?","Ambon","Ternate","Sorong","Manokwari","A","Ambon adalah ibu kota Provinsi Maluku.",""
268,"Geografi","mudah","Ibu kota Provinsi Maluku Utara adalah apa?","Sofifi","Ambon","Ternate","Tidore","A","Sofifi adalah ibu kota Provinsi Maluku Utara.",""
269,"Geografi","mudah","Ibu kota Provinsi Papua adalah apa?","Jayapura","Manokwari","Sorong","Merauke","A","Jayapura adalah ibu kota Provinsi Papua.",""
270,"Geografi","mudah","Ibu kota Provinsi Nusa Tenggara Barat adalah apa?","Mataram","Denpasar","Kupang","Bima","A","Mataram adalah ibu kota Provinsi Nusa Tenggara Barat.",""
271,"Geografi","sedang","Ibu kota Provinsi Nusa Tenggara Timur adalah apa?","Kupang","Mataram","Denpasar","Ende","A","Kupang adalah ibu kota Provinsi Nusa Tenggara Timur.",""
272,"Geografi","sedang","Ibu kota Provinsi Aceh adalah apa?","Banda Aceh","Medan","Padang","Pekanbaru","A","Banda Aceh adalah ibu kota Provinsi Aceh.",""
273,"Geografi","sedang","Ibu kota Provinsi Banten adalah apa?","Serang","Bandung","Jakarta","Cilegon","A","Serang adalah ibu kota Provinsi Banten.",""
274,"Geografi","sedang","Ibu kota Provinsi Bengkulu adalah apa?","Bengkulu","Padang","Jambi","Palembang","A","Bengkulu adalah ibu kota Provinsi Bengkulu.",""
275,"Geografi","sedang","Ibu kota Provinsi Jambi adalah apa?","Jambi","Palembang","Bengkulu","Padang","A","Jambi adalah ibu kota Provinsi Jambi.",""
276,"Geografi","sedang","Ibu kota Provinsi Sumatera Selatan adalah apa?","Palembang","Jambi","Bengkulu","Bandar Lampung","A","Palembang adalah ibu kota Provinsi Sumatera Selatan.",""
277,"Geografi","sedang","Ibu kota Provinsi Kepulauan Riau adalah apa?","Tanjungpinang","Batam","Pekanbaru","Medan","A","Tanjungpinang adalah ibu kota Provinsi Kepulauan Riau.",""
278,"Geografi","sedang","Ibu kota Provinsi Bangka Belitung adalah apa?","Pangkalpinang","Palembang","Tanjungpinang","Bengkulu","A","Pangkalpinang adalah ibu kota Provinsi Kepulauan Bangka Belitung.",""
279,"Geografi","sedang","Ibu kota Provinsi Gorontalo adalah apa?","Gorontalo","Manado","Palu","Kendari","A","Gorontalo adalah ibu kota Provinsi Gorontalo.",""
280,"Geografi","sedang","Ibu kota Provinsi Daerah Istimewa Yogyakarta adalah apa?","Yogyakarta","Semarang","Surakarta","Magelang","A","Yogyakarta adalah ibu kota Daerah Istimewa Yogyakarta.",""
