id,category,difficulty,question,option_a,option_b,option_c,option_d,correct_option,explanation,image
1,"Pengetahuan Umum","mudah","Apa ibu kota Indonesia?","Jakarta","Bandung","Surabaya","Medan","A","Jakarta adalah ibu kota negara Indonesia.",""
2,"Pengetahuan Umum","mudah","Apa lambang negara Indonesia?","Garuda Pancasila","Beringin Raya","Merah Putih","Monas","A","Lambang negara Indonesia adalah Garuda Pancasila.",""
3,"Pengetahuan Umum","mudah","Apa warna bendera Indonesia?","Merah dan putih","Biru dan putih","Merah dan hijau","Kuning dan hitam","A","Bendera Indonesia terdiri dari warna merah di atas dan putih di bawah.",""
4,"Pengetahuan Umum","mudah","Apa mata uang resmi Indonesia?","Rupiah","Ringgit","Baht","Yen","A","Mata uang resmi Indonesia adalah rupiah.",""
5,"Pengetahuan Umum","mudah","Tanggal berapa Hari Kemerdekaan Indonesia diperingati?","17 Agustus","1 Juni","10 November","28 Oktober","A","Hari Kemerdekaan Indonesia diperingati setiap 17 Agustus.",""
6,"Pengetahuan Umum","mudah","Sila pertama Pancasila berbunyi apa?","Ketuhanan Yang Maha Esa","Persatuan Indonesia","Keadilan sosial","Kemanusiaan yang adil dan beradab","A","Sila pertama Pancasila adalah Ketuhanan Yang Maha Esa.",""
7,"Pengetahuan Umum","mudah","Apa lagu kebangsaan Indonesia?","Indonesia Raya","Bagimu Negeri","Garuda Pancasila","Tanah Airku","A","Lagu kebangsaan Indonesia adalah Indonesia Raya.",""
8,"Pengetahuan Umum","mudah","Siapa presiden pertama Indonesia?","Soekarno","Soeharto","B. J. Habibie","Mohammad Hatta","A","Presiden pertama Indonesia adalah Soekarno.",""
9,"Pengetahuan Umum","mudah","Siapa wakil presiden pertama Indonesia?","Mohammad Hatta","Soekarno","Sutan Sjahrir","Ki Hajar Dewantara","A","Wakil presiden pertama Indonesia adalah Mohammad Hatta.",""
10,"Pengetahuan Umum","mudah","Apa nama gedung parlemen Indonesia?","Gedung DPR/MPR","Istana Bogor","Gedung Sate","Balai Kota","A","Gedung DPR/MPR adalah tempat lembaga legislatif nasional bekerja.",""
11,"Pengetahuan Umum","mudah","Apa alat transportasi yang berjalan di rel?","Kereta api","Kapal laut","Pesawat","Sepeda motor","A","Kereta api berjalan di atas rel.",""
12,"Pengetahuan Umum","mudah","Tempat pesawat lepas landas dan mendarat disebut apa?","Bandara","Pelabuhan","Terminal","Stasiun","A","Bandara adalah tempat pesawat lepas landas dan mendarat.",""
13,"Pengetahuan Umum","mudah","Tempat kapal berlabuh disebut apa?","Pelabuhan","Bandara","Stasiun","Garasi","A","Pelabuhan adalah tempat kapal berlabuh.",""
14,"Pengetahuan Umum","mudah","Tempat kereta api berhenti dan menaikkan penumpang disebut apa?","Stasiun","Terminal","Bandara","Dermaga","A","Stasiun adalah tempat kereta berhenti dan melayani penumpang.",""
15,"Pengetahuan Umum","mudah","Warna lampu lalu lintas untuk berhenti adalah apa?","Merah","Hijau","Kuning","Biru","A","Lampu merah menandakan kendaraan harus berhenti.",""
16,"Pengetahuan Umum","mudah","Warna lampu lalu lintas untuk berjalan adalah apa?","Hijau","Merah","Kuning","Ungu","A","Lampu hijau menandakan kendaraan boleh berjalan.",""
17,"Pengetahuan Umum","mudah","Alat untuk mengetahui arah mata angin disebut apa?","Kompas","Termometer","Kamera","Mikrofon","A","Kompas digunakan untuk menunjukkan arah mata angin.",""
18,"Pengetahuan Umum","mudah","Arah matahari terbit adalah apa?","Timur","Barat","Utara","Selatan","A","Matahari tampak terbit dari arah timur.",""
19,"Pengetahuan Umum","mudah","Arah matahari terbenam adalah apa?","Barat","Timur","Utara","Selatan","A","Matahari tampak terbenam ke arah barat.",""
20,"Pengetahuan Umum","mudah","Satu minggu terdiri dari berapa hari?","7","5","6","8","A","Satu minggu terdiri dari tujuh hari.",""
21,"Pengetahuan Umum","mudah","Satu tahun biasa terdiri dari berapa bulan?","12","10","11","13","A","Satu tahun terdiri dari dua belas bulan.",""
22,"Pengetahuan Umum","mudah","Satu jam terdiri dari berapa menit?","60","30","45","90","A","Satu jam sama dengan 60 menit.",""
23,"Pengetahuan Umum","mudah","Satu menit terdiri dari berapa detik?","60","30","50","100","A","Satu menit sama dengan 60 detik.",""
24,"Pengetahuan Umum","mudah","Alat untuk mengukur waktu disebut apa?","Jam","Meteran","Timbangan","Kompas","A","Jam digunakan untuk mengukur waktu.",""
25,"Pengetahuan Umum","mudah","Alat untuk mengukur berat atau massa benda disebut apa?","Timbangan","Jam","Mistar","Kompas","A","Timbangan digunakan untuk mengukur berat atau massa benda.",""
26,"Pengetahuan Umum","mudah","Alat untuk mengukur panjang disebut apa?","Mistar","Gelas","Speaker","Keyboard","A","Mistar atau penggaris digunakan untuk mengukur panjang.",""
27,"Pengetahuan Umum","mudah","Tempat belajar formal bagi siswa disebut apa?","Sekolah","Pasar","Terminal","Studio","A","Sekolah adalah tempat kegiatan belajar formal.",""
28,"Pengetahuan Umum","mudah","Orang yang mengajar di sekolah disebut apa?","Guru","Dokter","Pilot","Arsitek","A","Guru bertugas mengajar dan membimbing siswa.",""
29,"Pengetahuan Umum","mudah","Orang yang merawat pasien disebut apa?","Dokter","Nelayan","Penjahit","Kasir","A","Dokter bertugas memeriksa dan merawat pasien.",""
30,"Pengetahuan Umum","mudah","Tempat membeli obat secara resmi disebut apa?","Apotek","Perpustakaan","Museum","Kantin","A","Apotek adalah tempat pelayanan dan pembelian obat.",""
31,"Pengetahuan Umum","sedang","Tempat menyimpan dan membaca buku umum disebut apa?","Perpustakaan","Terminal","Gudang","Lapangan","A","Perpustakaan menyediakan koleksi buku dan bahan bacaan.",""
32,"Pengetahuan Umum","sedang","Negara yang dijuluki Negeri Sakura adalah apa?","Jepang","Korea Selatan","China","Thailand","A","Jepang dikenal dengan julukan Negeri Sakura.",""
33,"Pengetahuan Umum","sedang","Negara yang memiliki Menara Eiffel adalah apa?","Prancis","Italia","Spanyol","Jerman","A","Menara Eiffel berada di Paris, Prancis.",""
34,"Pengetahuan Umum","sedang","Benua terbesar di dunia adalah apa?","Asia","Afrika","Eropa","Australia","A","Asia adalah benua terbesar berdasarkan luas wilayah.",""
35,"Pengetahuan Umum","sedang","Samudra terluas di dunia adalah apa?","Samudra Pasifik","Samudra Hindia","Samudra Atlantik","Samudra Arktik","A","Samudra Pasifik adalah samudra terluas di dunia.",""
36,"Pengetahuan Umum","sedang","Gunung tertinggi di dunia adalah apa?","Everest","Kilimanjaro","Fuji","Elbrus","A","Everest adalah gunung tertinggi di dunia di atas permukaan laut.",""
37,"Pengetahuan Umum","sedang","Garis khayal yang membagi Bumi menjadi utara dan selatan disebut apa?","Khatulistiwa","Meridian","Garis tanggal","Lintang balik","A","Khatulistiwa membagi Bumi menjadi belahan utara dan selatan.",""
38,"Pengetahuan Umum","sedang","Hari Pendidikan Nasional diperingati setiap tanggal berapa?","2 Mei","1 Juni","20 Mei","10 November","A","Hari Pendidikan Nasional diperingati setiap 2 Mei.",""
39,"Pengetahuan Umum","sedang","Hari Pahlawan diperingati setiap tanggal berapa?","10 November","17 Agustus","28 Oktober","21 April","A","Hari Pahlawan diperingati setiap 10 November.",""
40,"Pengetahuan Umum","sedang","Hari Kartini diperingati setiap tanggal berapa?","21 April","2 Mei","1 Juni","10 November","A","Hari Kartini diperingati setiap 21 April.",""
41,"Pengetahuan Umum","sedang","Apa nama organisasi dunia yang menaungi banyak negara?","PBB","ASEAN","OPEC","FIFA","A","PBB atau Perserikatan Bangsa-Bangsa adalah organisasi internasional antarnegara.",""
42,"Pengetahuan Umum","sedang","Apa organisasi regional negara-negara Asia Tenggara?","ASEAN","PBB","Uni Eropa","OPEC","A","ASEAN adalah organisasi negara-negara di kawasan Asia Tenggara.",""
43,"Pengetahuan Umum","sedang","Apa singkatan dari PMI di Indonesia?","Palang Merah Indonesia","Persatuan Musik Indonesia","Pusat Media Indonesia","Perkumpulan Mesin Indonesia","A","PMI adalah singkatan dari Palang Merah Indonesia.",""
44,"Pengetahuan Umum","sedang","Apa nama monumen terkenal di Jakarta?","Monas","Tugu Pahlawan","Jam Gadang","Candi Borobudur","A","Monas atau Monumen Nasional berada di Jakarta.",""
