id,category,difficulty,question,option_a,option_b,option_c,option_d,correct_option,explanation,image
501,"Bahasa Inggris","mudah","Apa arti kata apple dalam bahasa Indonesia?","Apel","Jeruk","Anggur","Pisang","A","Apple berarti apel dalam bahasa Indonesia.",""
502,"Bahasa Inggris","mudah","Apa arti kata book dalam bahasa Indonesia?","Buku","Meja","Pintu","Tas","A","Book berarti buku dalam bahasa Indonesia.",""
503,"Bahasa Inggris","mudah","Apa arti kata cat dalam bahasa Indonesia?","Kucing","Anjing","Burung","Ikan","A","Cat berarti kucing dalam bahasa Indonesia.",""
504,"Bahasa Inggris","mudah","Apa arti kata dog dalam bahasa Indonesia?","Anjing","Kucing","Kuda","Sapi","A","Dog berarti anjing dalam bahasa Indonesia.",""
505,"Bahasa Inggris","mudah","Apa arti kata school dalam bahasa Indonesia?","Sekolah","Rumah","Pasar","Kantor","A","School berarti sekolah dalam bahasa Indonesia.",""
506,"Bahasa Inggris","mudah","Apa arti kata teacher dalam bahasa Indonesia?","Guru","Murid","Dokter","Petani","A","Teacher berarti guru dalam bahasa Indonesia.",""
507,"Bahasa Inggris","mudah","Apa arti kata student dalam bahasa Indonesia?","Murid","Guru","Kepala sekolah","Penjaga","A","Student berarti murid atau siswa dalam bahasa Indonesia.",""
508,"Bahasa Inggris","mudah","Apa arti kata water dalam bahasa Indonesia?","Air","Api","Tanah","Udara","A","Water berarti air dalam bahasa Indonesia.",""
509,"Bahasa Inggris","mudah","Apa arti kata fire dalam bahasa Indonesia?","Api","Air","Batu","Awan","A","Fire berarti api dalam bahasa Indonesia.",""
510,"Bahasa Inggris","mudah","Apa arti kata house dalam bahasa Indonesia?","Rumah","Sekolah","Kebun","Jalan","A","House berarti rumah dalam bahasa Indonesia.",""
511,"Bahasa Inggris","mudah","Apa arti kata red dalam bahasa Indonesia?","Merah","Biru","Hijau","Kuning","A","Red berarti merah dalam bahasa Indonesia.",""
512,"Bahasa Inggris","mudah","Apa arti kata blue dalam bahasa Indonesia?","Biru","Merah","Putih","Hitam","A","Blue berarti biru dalam bahasa Indonesia.",""
